R	53.3704	-6.50598	D933	06 Feb 2025	D933\n19:47 - Dublin Connolly to Maynooth (3 mins late)\nDeparted Leixlip (Louisa Bridge) next stop Maynooth	Northbound
R	53.3725	-6.29869	D934	06 Feb 2025	D934\n20:17 - Dublin Connolly to Maynooth (-1 mins late)\nArrived Broombridge next stop Pelletstown	Northbound
R	53.373	-6.20442	E257	06 Feb 2025	E257\n20:03 - Malahide to Bray (4 mins late)\nArrived Killester next stop Clontarf Road	Southbound
R	53.3743	-6.48624	P767	06 Feb 2025	P767\n20:10 - Maynooth to Dublin Connolly (5 mins late)\nDeparted Leixlip (Confey) next stop Clonsilla	Southbound
R	53.378	-6.58993	A914	06 Feb 2025	A914\n19:32 - Dublin Connolly to Sligo (4 mins late)\nDeparted Maynooth next stop Kilcock	Northbound
R	53.3853	-6.44205	D327	06 Feb 2025	D327\n20:22 - Clonsilla to M3 Parkway (-1 mins late)\nArrived Hansfield next stop Dunboyne	Northbound
R	53.3917	-6.13678	E129	06 Feb 2025	E129\n20:19 - Howth to Greystones (0 mins late)\nArrived Bayside next stop Howth Junction	Southbound
R	53.3917	-6.13678	E943	06 Feb 2025	E943\n19:01 - Greystones to Howth (5 mins late)\nArrived Bayside next stop Sutton	Northbound
R	53.4273	-7.93683	A811	06 Feb 2025	A811\n18:25 - Westport to Dublin Heuston (5 mins late)\nArrived Athlone next stop Tullamore	To Dublin Heuston
R	53.4855	-6.15134	P622	06 Feb 2025	P622\n19:48 - Drogheda to Grand Canal Dock (3 mins late)\nDeparted Donabate next stop Malahide	To Grand Canal Dock
R	53.6794	-6.24253	D831	06 Feb 2025	D831\n19:19 - Grand Canal Dock to Drogheda (0 mins late)\nDeparted Laytown next stop Drogheda	To Drogheda
R	53.9383	-8.10657	A915	06 Feb 2025	A915\n19:05 - Sligo to Dublin Connolly (5 mins late)\nArrived Carrick on Shannon next stop Dromod	Southbound
R	54.0007	-6.41291	A126	06 Feb 2025	A126\n18:50 - Dublin Connolly to Belfast (12 mins late)\nDeparted Dundalk next stop Newry	Northbound
R	54.0007	-6.41291	A127	06 Feb 2025	A127\n19:00 - Belfast to Dublin Connolly (0 mins late)\nDeparted Dundalk next stop Drogheda	Southbound
T	53.0371	-7.30086	D221	06 Feb 2025	D221\n19:08 - Dublin Heuston to Portlaoise(6 mins late)\nTERMINATED Portlaoise at 20:25	To Portlaoise
T	53.2043	-6.10046	E254	06 Feb 2025	E254\n19:03 - Malahide to Bray(3 mins late)\nTERMINATED Bray at 20:22	Southbound
T	53.3397	-6.23773	P420	06 Feb 2025	P420\n19:40 - Hazelhatch to Grand Canal Dock(-1 mins late)\nTERMINATED Grand Canal Dock at 20:23	Northbound
T	53.3531	-6.24591	A125	06 Feb 2025	A125\n18:00 - Belfast to Dublin Connolly(4 mins late)\nTERMINATED Dublin Connolly at 20:17	Southbound
T	53.3531	-6.24591	P783	06 Feb 2025	P783\n19:40 - M3 Parkway to Dublin Connolly(0 mins late)\nTERMINATED Dublin Connolly at 20:20	Southbound
T	53.3831	-6.4242	P329	06 Feb 2025	P329\n20:07 - M3 Parkway to Clonsilla(0 mins late)\nTERMINATED Clonsilla at 20:17	Southbound
T	53.4509	-6.15649	E840	06 Feb 2025	E840\n19:04 - Bray to Malahide(2 mins late)\nTERMINATED Malahide at 20:18	Northbound
T	54.2723	-8.48249	A912	06 Feb 2025	A912\n17:05 - Dublin Connolly to Sligo(-1 mins late)\nTERMINATED Sligo at 20:22	Northbound
